01;Les étapes pour laver les vitres;les étape pour laver les vitres sont :;3;Mettre du produit à vitre;Prendre une raclette;Nettoyer de haut en bas
02;Les étapes pour nettoyer le sol;les étape pour laver les vitres sont :;3;Dégager le sol;Passer l'aspirateur;Passer la serpillère
03;Les étapes pour faire la vaiselle;les étape pour laver les vitres sont :;3;Mettre du produit à vaisselle sur l'éponge; Nettoyer la vaiselle;Rincer la vaiselle
04;Les étapes pour faire une machine à laver;les étape pour laver les vitres sont :;3;Faire 2 tas :couleurs et blanc;Mettre un tas dans la machine;Choisir 40°, et le bon choix
